tweet_content,emotion,decision_type,financial_strategy,financial_goal,sentiment_score,likes,retweets,replies,spending_behavior,financial_behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Disappointment,Conservative,Debt Management,Education Fund,-0.77,705,227,9,Frugal,Moderate behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Trust,Aggressive,Saving,Emergency Fund,0.34,477,149,36,Average,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Joy,Conservative,Budgeting,Retirement Savings,0.46,941,57,40,Average,Good behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Surprise,Aggressive,Saving,Education Fund,-0.54,870,67,2,Frugal,Moderate behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Disgust,Conservative,Budgeting,Education Fund,-0.24,538,227,66,Frugal,Good behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Disgust,Conservative,Investing,Emergency Fund,0.46,316,251,62,Frugal,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anger,Balanced,Investing,Education Fund,0.97,269,227,68,Splurge,Moderate behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Fear,Conservative,Investing,Emergency Fund,-0.38,366,185,21,Splurge,Moderate behavior
"Saving every month for a house down payment is a fulfilling goal. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Positive,Aggressive,Saving,Buying a House,-0.85,518,6,19,Frugal,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Sadness,Balanced,Investing,Emergency Fund,-0.66,839,29,7,Splurge,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Sadness,Conservative,Debt Management,Retirement Savings,-0.81,182,28,81,Frugal,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Sadness,Conservative,Investing,Retirement Savings,0.36,803,12,76,Frugal,Moderate behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Disgust,Aggressive,Investing,Buying a House,-0.02,130,75,17,Splurge,Risky behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Disgust,Conservative,Debt Management,Buying a House,0.65,900,244,15,Frugal,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Sadness,Balanced,Investing,Emergency Fund,-0.15,941,203,3,Splurge,Moderate behavior
"I'm disappointed in my recent financial decisions, but there's always room to improve. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Disappointment,Aggressive,Investing,Retirement Savings,0.28,75,466,54,Average,Risky behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Anger,Aggressive,Debt Management,Retirement Savings,-0.68,472,375,5,Splurge,Risky behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Trust,Aggressive,Debt Management,Retirement Savings,-0.6,875,187,54,Average,Risky behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Anger,Balanced,Budgeting,Buying a House,0.51,296,277,97,Frugal,Good behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Fear,Conservative,Investing,Emergency Fund,0.72,968,213,6,Splurge,Moderate behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Anticipation,Conservative,Investing,Retirement Savings,0.3,941,33,5,Frugal,Moderate behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Surprise,Conservative,Investing,Emergency Fund,0.28,543,266,79,Splurge,Moderate behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Surprise,Conservative,Debt Management,Education Fund,-0.54,438,397,31,Frugal,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Sadness,Aggressive,Debt Management,Emergency Fund,-0.03,47,53,66,Frugal,Risky behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Fear,Balanced,Investing,Buying a House,0.09,185,427,25,Average,Moderate behavior
"I was surprised to learn how much money I could save by budgeting properly! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Surprise,Conservative,Budgeting,Emergency Fund,-0.22,147,418,66,Average,Good behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Joy,Balanced,Debt Management,Retirement Savings,-0.2,502,281,45,Splurge,Good behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Fear,Aggressive,Budgeting,Retirement Savings,-0.31,129,120,3,Frugal,Moderate behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Fear,Conservative,Budgeting,Buying a House,0.73,254,352,42,Frugal,Good behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Surprise,Aggressive,Budgeting,Buying a House,0.61,780,36,23,Average,Moderate behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Positive,Aggressive,Budgeting,Emergency Fund,0.1,174,25,99,Frugal,Moderate behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Surprise,Aggressive,Debt Management,Retirement Savings,0.76,695,20,61,Splurge,Risky behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Disappointment,Aggressive,Budgeting,Buying a House,-0.49,835,213,1,Splurge,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anger,Aggressive,Budgeting,Emergency Fund,0.25,965,495,71,Frugal,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Fear,Balanced,Debt Management,Retirement Savings,-0.76,669,69,19,Frugal,Good behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Anger,Aggressive,Debt Management,Education Fund,0.48,278,185,52,Frugal,Risky behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Anger,Conservative,Budgeting,Education Fund,0.67,167,10,91,Average,Good behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Sadness,Conservative,Budgeting,Retirement Savings,0.63,208,425,13,Average,Good behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Trust,Aggressive,Budgeting,Education Fund,-0.94,99,174,93,Average,Moderate behavior
"Planning for retirement early is the best decision I’ve ever made. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Positive,Balanced,Investing,Buying a House,0.38,774,291,100,Average,Moderate behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Surprise,Aggressive,Saving,Retirement Savings,-0.92,735,249,34,Average,Moderate behavior
"I’m feeling a bit down about my current financial situation, but I know I’ll bounce back. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Sadness,Balanced,Debt Management,Retirement Savings,0.74,39,433,6,Average,Good behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Positive,Balanced,Budgeting,Buying a House,-0.11,721,220,48,Average,Good behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Sadness,Aggressive,Debt Management,Emergency Fund,-0.05,554,79,2,Splurge,Risky behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Disgust,Aggressive,Debt Management,Retirement Savings,-0.65,227,176,32,Average,Risky behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Trust,Aggressive,Debt Management,Buying a House,0.65,831,189,98,Average,Risky behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Trust,Aggressive,Investing,Education Fund,-0.83,409,222,39,Splurge,Risky behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Sadness,Balanced,Saving,Education Fund,-0.96,857,392,35,Splurge,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Anger,Conservative,Saving,Buying a House,0.62,849,277,36,Splurge,Good behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Surprise,Conservative,Investing,Retirement Savings,-0.98,688,415,72,Average,Moderate behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Trust,Aggressive,Budgeting,Retirement Savings,-0.93,231,170,48,Frugal,Moderate behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Surprise,Aggressive,Budgeting,Buying a House,-0.78,43,320,9,Splurge,Moderate behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Anticipation,Conservative,Saving,Emergency Fund,0.15,530,497,89,Frugal,Good behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Positive,Balanced,Saving,Emergency Fund,-0.28,474,490,56,Frugal,Good behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Disgust,Balanced,Debt Management,Retirement Savings,0.27,436,167,87,Frugal,Good behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Surprise,Balanced,Debt Management,Education Fund,0.02,689,335,57,Frugal,Good behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Disgust,Balanced,Saving,Buying a House,0.45,145,50,30,Splurge,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Anger,Balanced,Budgeting,Retirement Savings,0.99,839,44,2,Frugal,Good behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Joy,Aggressive,Saving,Retirement Savings,0.52,764,407,98,Frugal,Moderate behavior
"I never imagined how quickly my savings could grow with consistent investing. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Surprise,Balanced,Debt Management,Retirement Savings,0.81,157,158,84,Splurge,Good behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Positive,Conservative,Investing,Education Fund,0.07,98,67,82,Average,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anger,Balanced,Saving,Education Fund,0.92,804,43,84,Frugal,Good behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Anger,Aggressive,Budgeting,Retirement Savings,-0.65,581,256,49,Frugal,Moderate behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Disgust,Balanced,Investing,Education Fund,-0.35,400,347,42,Average,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Joy,Balanced,Saving,Education Fund,0.46,977,4,35,Frugal,Good behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Sadness,Aggressive,Investing,Retirement Savings,0.58,606,25,23,Average,Risky behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Anger,Balanced,Budgeting,Buying a House,0.42,70,7,21,Average,Good behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Fear,Conservative,Investing,Retirement Savings,0.44,476,479,55,Average,Moderate behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Trust,Aggressive,Investing,Retirement Savings,0.95,411,356,40,Splurge,Risky behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Disgust,Conservative,Investing,Education Fund,-0.04,858,146,30,Splurge,Moderate behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Trust,Balanced,Saving,Education Fund,0.49,305,317,84,Frugal,Good behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Fear,Aggressive,Budgeting,Education Fund,-0.83,27,200,47,Splurge,Moderate behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Emergency Fund",Disappointment,Balanced,Saving,Emergency Fund,0.01,641,77,93,Splurge,Good behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Trust,Aggressive,Saving,Retirement Savings,0.43,22,74,44,Average,Moderate behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Fear,Conservative,Debt Management,Education Fund,-0.53,837,353,26,Average,Moderate behavior
"I'm disappointed in my recent financial decisions, but there's always room to improve. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Disappointment,Conservative,Debt Management,Emergency Fund,0.19,169,341,63,Splurge,Moderate behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Disgust,Aggressive,Saving,Retirement Savings,-0.21,379,486,72,Average,Moderate behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Positive,Aggressive,Saving,Education Fund,-0.37,625,300,49,Frugal,Moderate behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Positive,Aggressive,Debt Management,Buying a House,0.26,528,440,35,Average,Risky behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Emergency Fund",Joy,Conservative,Investing,Emergency Fund,-0.72,516,18,79,Average,Moderate behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Anger,Aggressive,Debt Management,Education Fund,0.6,753,48,6,Splurge,Risky behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Joy,Conservative,Debt Management,Emergency Fund,-0.12,71,272,50,Frugal,Moderate behavior
"It's so frustrating when I see unnecessary fees eating into my savings! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Anger,Conservative,Debt Management,Emergency Fund,-0.12,756,85,85,Frugal,Moderate behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Sadness,Aggressive,Debt Management,Buying a House,0.78,634,137,81,Frugal,Risky behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anticipation,Aggressive,Saving,Education Fund,0.91,735,150,5,Average,Moderate behavior
"Starting my investment journey feels like the right step towards financial freedom. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Positive,Balanced,Budgeting,Buying a House,0.99,650,64,9,Frugal,Good behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Education Fund",Anger,Aggressive,Investing,Education Fund,-0.1,102,3,64,Splurge,Risky behavior
"I trust that my investments will pay off in the long run. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Trust,Conservative,Debt Management,Emergency Fund,-0.29,355,216,91,Average,Moderate behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Sadness,Balanced,Budgeting,Education Fund,-0.81,82,445,53,Splurge,Good behavior
"I can't wait to see how my investments perform in the next few years. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anticipation,Conservative,Saving,Education Fund,-1.0,301,158,1,Splurge,Good behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Fear,Conservative,Saving,Retirement Savings,-0.68,493,25,6,Average,Good behavior
"I need to be more mindful of my financial decisions after a recent setback. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Sadness,Balanced,Budgeting,Buying a House,-0.67,513,456,74,Average,Good behavior
"I'm placing my trust in the budgeting system I’ve set up for the year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Trust,Balanced,Debt Management,Retirement Savings,0.38,288,336,98,Average,Good behavior
"I'm scared that I won’t have enough money saved for retirement. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Fear,Balanced,Saving,Education Fund,-0.39,959,121,91,Splurge,Good behavior
"I can't stand how much I'm paying in interest every month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Disgust,Aggressive,Investing,Buying a House,-0.36,950,196,17,Average,Risky behavior
"Unexpected financial setbacks taught me to be more cautious. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Surprise,Conservative,Budgeting,Education Fund,0.73,149,290,75,Splurge,Good behavior
"I thought I could afford that new gadget, but it looks like I need to save more. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Retirement Savings",Disappointment,Aggressive,Budgeting,Retirement Savings,0.26,795,224,22,Splurge,Moderate behavior
"I can't believe how much I’m paying in interest on my credit card! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Emergency Fund",Anger,Conservative,Budgeting,Emergency Fund,-0.45,670,160,48,Frugal,Good behavior
"Fear of debt keeps me up at night, but I’m working on paying it off. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Fear,Aggressive,Saving,Retirement Savings,0.18,664,349,28,Frugal,Moderate behavior
"Making smart financial decisions is bringing me closer to my goals! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Retirement Savings",Joy,Balanced,Investing,Retirement Savings,-0.25,85,392,14,Splurge,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Investing, Goal: Buying a House",Fear,Conservative,Investing,Buying a House,0.26,479,428,92,Frugal,Moderate behavior
"Feeling accomplished after sticking to my budget this month. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Buying a House",Joy,Balanced,Debt Management,Buying a House,0.05,980,131,41,Splurge,Good behavior
"It’s tough seeing my investments lose value, but I’ll recover. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Education Fund",Sadness,Aggressive,Budgeting,Education Fund,0.46,689,52,12,Frugal,Moderate behavior
"I’m angry at myself for not sticking to my financial goals last year. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Education Fund",Anger,Aggressive,Saving,Education Fund,0.08,246,214,75,Average,Moderate behavior
"I’m disgusted by how my financial situation has been mismanaged in the past. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Disgust,Aggressive,Debt Management,Emergency Fund,-0.63,878,173,52,Splurge,Risky behavior
"Anticipating a future of financial freedom after reaching my savings goals. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Education Fund",Anticipation,Aggressive,Debt Management,Education Fund,-0.82,897,481,8,Frugal,Risky behavior
"I'm thrilled to be saving for my future, it's so empowering! #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Emergency Fund",Joy,Conservative,Debt Management,Emergency Fund,-0.05,97,448,17,Frugal,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Debt Management, Goal: Retirement Savings",Fear,Conservative,Debt Management,Retirement Savings,0.89,715,249,49,Frugal,Moderate behavior
"Building my emergency fund is a step toward financial security and peace of mind. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Buying a House",Trust,Balanced,Saving,Buying a House,0.68,116,37,68,Frugal,Good behavior
"The fees associated with these loans are just too much. #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Budgeting, Goal: Buying a House",Disgust,Aggressive,Budgeting,Buying a House,0.47,259,142,8,Splurge,Moderate behavior
"What if I lose my job and don’t have enough savings to cover expenses? #FinancialLiteracy #ConsumerBehavior #TrendingTopic: Saving, Goal: Retirement Savings",Fear,Aggressive,Saving,Retirement Savings,0.28,603,89,37,Frugal,Moderate behavior
